time in ms,channel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
161147,4646836,6927902,6518507,6259516,8388607,8388607,8388607,8388607
161288,4645889,6926786,6519002,6258041,8388607,8388607,8388607,8388607
161433,4648100,6927565,6519129,6258117,8388607,8388607,8388607,8388607
161634,4644935,6926655,6516232,6256870,8388607,8388607,8388607,8388607

163422,4648486,6921711,6521916,6257741,8388607,8388607,8388607,8388607
163564,4653560,6918722,6523004,6255535,8388607,8388607,8388607,8388607
163706,4652106,6917525,6522112,6255245,8388607,8388607,8388607,8388607

165623,4661944,6930607,6534951,6258805,8388607,8388607,8388607,8388607
165749,4650089,6930606,6532165,6259576,8388607,8388607,8388607,8388607
165880,4654251,6928694,6532484,6258377,8388607,8388607,8388607,8388607
166000,4653826,6928892,6533114,6258925,8388607,8388607,8388607,8388607
166124,4654025,6928806,6531779,6259569,8388607,8388607,8388607,8388607
166248,4652930,6928891,6530450,6259935,8388607,8388607,8388607,8388607
166379,4652458,6927132,6530831,6257602,8388607,8388607,8388607,8388607
166559,4650990,6926767,6529314,6257991,8388607,8388607,8388607,8388607
166679,4680623,6931464,6528729,6265545,8388607,8388607,8388607,8388607
166803,4667130,6929334,6564552,6556562,8388607,8388607,8388607,8388607
166924,4633946,6818943,6413731,6150351,8388607,8388607,8388607,8388607

1994,4871525,7042421,6855724,6478516,8388607,8388607,8388607,8388607
2115,4860991,7037053,6852097,6471723,8388607,8388607,8388607,8388607
2236,4851262,7035978,6851917,6468884,8388607,8388607,8388607,8388607
2366,4855833,7033108,6847565,6465147,8388607,8388607,8388607,8388607
2497,4844245,7028016,6847529,6459788,8388607,8388607,8388607,8388607
2623,4843624,7023960,6843568,6455049,8388607,8388607,8388607,8388607
2749,4846526,7022225,6839943,6450886,8388607,8388607,8388607,8388607
2926,4829868,7015518,6836322,6442723,8388607,8388607,8388607,8388607
3053,4835102,7015858,6837639,6440459,8388607,8388607,8388607,8388607
3178,4838720,7013529,6836853,6436502,8388607,8388607,8388607,8388607
3300,4833028,7010293,6834340,6433966,8388607,8388607,8388607,8388607
3424,4832433,7009260,6833160,6432885,8388607,8388607,8388607,8388607
3550,4834380,7007567,6830738,6429026,8388607,8388607,8388607,8388607
3676,4821114,7001591,6829715,6424958,8388607,8388607,8388607,8388607
3807,4829264,7000183,6826468,6422280,8388607,8388607,8388607,8388607
4070,4821722,7004229,6830096,6423933,8388607,8388607,8388607,8388607
4196,4818562,6995696,6824434,6413385,8388607,8388607,8388607,8388607
4330,4817039,6992484,6823267,6410625,8388607,8388607,8388607,8388607
4463,4812292,6992529,6820754,6408451,8388607,8388607,8388607,8388607
4598,4811957,6990003,6821366,6405946,8388607,8388607,8388607,8388607

12478,4784645,6905875,6794643,6342375,8388607,8388607,8388607,8388607
12610,4776987,6902804,6793951,6340691,8388607,8388607,8388607,8388607
12752,4775376,6900623,6791365,6338831,8388607,8388607,8388607,8388607
12893,4770665,6899518,6790611,6340139,8388607,8388607,8388607,8388607
13033,4780126,6896717,6790108,6338475,8388607,8388607,8388607,8388607
13162,4778214,6895638,6790165,6338401,8388607,8388607,8388607,8388607
13299,4777749,6895104,6786095,6337793,8388607,8388607,8388607,8388607
13431,4780351,6894050,6786808,6338337,8388607,8388607,8388607,8388607
13563,4778000,6892105,6785200,6336279,8388607,8388607,8388607,8388607
13702,4781283,6891524,6782178,6336826,8388607,8388607,8388607,8388607
13832,4781200,6888898,6781719,6333762,8388607,8388607,8388607,8388607

17660,4776998,6874033,6770866,6323532,8388607,8388607,8388607,8388607
17793,4776422,6872190,6770397,6321837,8388607,8388607,8388607,8388607
17933,4763239,6873052,6768201,6321627,8388607,8388607,8388607,8388607
18075,4759987,6875231,6766621,6321758,8388607,8388607,8388607,8388607
18219,4759074,6876614,6765829,6322056,8388607,8388607,8388607,8388607

22175,4770027,6907195,6724780,6309502,8388607,8388607,8388607,8388607
22308,4764245,6906285,6722232,6308846,8388607,8388607,8388607,8388607
