time in ms,raw 1,raw 2,raw 3,raw 4,raw 5,raw 6,raw 7,raw 8
31387,8388607,7273760,6878721,7132671,4538732,4268340,3011326,4759060
31531,8388607,7274833,6878511,7132533,4536630,4269189,3011945,4760114
31674,8388607,7274917,6876283,7133919,4534979,4267401,3012165,4758503
31807,8388607,7273844,6879599,7134434,4537287,4267421,3011217,4759114
31951,8388607,7275341,6879075,7136582,4536402,4270064,3009388,4758902
32094,8388607,7276896,6878992,7137392,4535191,4270296,3015276,4760974
32287,8388607,7275028,6881395,7135412,4536197,4269036,3024562,4758661
32430,8388607,7272484,6878528,7134524,4536524,4270124,3019947,4754547
32574,8388607,7274499,6876737,7136075,4535663,4270573,3018690,4755976
32717,8388607,7272724,6875514,7133807,4533767,4268216,3022120,4753625
32860,8388607,7273481,6877089,7133831,4534340,4267712,3024429,4755493
33003,8388607,7271732,6877515,7133028,4534060,4266320,3024589,4751847
33177,8388607,7274388,6874764,7134026,4529673,4267311,3028797,4752907
33310,8388607,7275064,6878707,7134009,4531957,4270793,3027388,4756550
33433,8388607,7275038,6875390,7133118,4531687,4270851,3032927,4756778
33556,8388607,7276265,6875397,7132035,4531865,4268809,3033615,4754681
33680,8388607,7274951,6878525,7131291,4531231,4268085,3031690,4753007
33803,8388607,7272580,6879001,7131183,4532629,4266938,3033765,4751283
33986,8388607,7272397,6878707,7133033,4533297,4266714,3036428,4751621
34119,8388607,7274959,6876146,7133957,4530662,4267206,3030645,4750527
34243,8388607,7273931,6875561,7132126,4532035,4267307,3029589,4752496
34366,8388607,7272495,6877166,7131367,4530619,4266622,3025598,4750736
34499,8388607,7274271,6874989,7135232,4531692,4266923,3026524,4749089
34622,8388607,7272540,6876296,7131829,4530026,4264429,3032259,4749047
34756,8388607,7275779,6875055,7135481,4530897,4268085,3033609,4753350
34889,8388607,7273443,6875553,7134954,4532582,4267893,3040353,4753532
35012,8388607,7274053,6871943,7136614,4531870,4268534,3034605,4751437
35145,8388607,7271947,6874484,7134815,4533258,4265237,3030713,4750940
35279,8388607,7274584,6873868,7135623,4532274,4264963,3026374,4750222
35412,8388607,7272030,6872229,7134576,4531020,4265796,3024238,4752638
35595,8388607,7276164,6873001,7135863,4531034,4266279,3022928,4755484
35718,8388607,7275241,6873804,7136286,4532604,4264547,3022188,4752426
35842,8388607,7272803,6874837,7134846,4533819,4263970,3022544,4752113
35975,8388607,7274133,6873533,7137024,4534206,4267466,3026994,4754180
36098,8388607,7273033,6872655,7133620,4532936,4267179,3029275,4753033
36231,8388607,7272149,6874618,7134444,4534812,4266638,3028484,4753246
36365,8388607,7271624,6876409,7134676,4533667,4264685,3027064,4751758
36498,8388607,7272791,6872363,7135698,4531859,4266092,3023061,4752181
36631,8388607,7270974,6872639,7133698,4531471,4265112,3020941,4752456
36764,8388607,7272099,6875744,7132547,4534478,4262380,3019514,4752633
36898,8388607,7273826,6872467,7134543,4532922,4265408,3022157,4751087
37031,8388607,7271570,6873435,7131553,4533188,4263467,3018758,4752010
37224,8388607,7272175,6877084,7130673,4533762,4262547,3026008,4751955
37357,8388607,7273476,6874932,7134123,4534523,4266661,3021425,4751463
37491,8388607,7271156,6875428,7131959,4533693,4263534,3020618,4753031
37624,8388607,7270995,6875488,7131237,4533422,4264591,3017830,4752514
37757,8388607,7273734,6874111,7132125,4531031,4265368,3016587,4751685
37890,8388607,7272495,6877505,7128978,4533379,4264487,3020195,4751466
38024,8388607,7271621,6876318,7126817,4532558,4263150,3023406,4750150
38157,8388607,7271874,6872613,7129639,4530291,4263737,3019934,4750104
38290,8388607,7268954,6872829,7129748,4530747,4261155,3018581,4748311
38423,8388607,7269109,6872658,7128742,4529714,4261656,3017910,4749170
