,Time,PiCCO temp,Swan-Ganz temp,Total Calories,parameter,value
235,9.363121040,36.998618967,36.998886913,0.000000000,,
236,9.403134378,36.999433252,36.999575051,0.000000000,,
237,9.443147716,37.000911473,37.000695638,0.000000000,,
238,9.483161054,36.999203499,37.001852465,0.000000000,,
239,9.523174391,36.998653201,36.999828719,0.000000000,,
240,9.563187729,37.001272818,37.000621398,0.000000000,,
241,9.603201067,36.998552746,36.998652591,0.000000000,,
242,9.643214405,37.001838027,37.001476447,0.000000000,,
243,9.683227743,36.999214908,36.999655817,0.000000000,,
244,9.723241080,37.000660310,37.000307536,0.000000000,,
245,9.763254418,37.000154573,37.001973179,0.000000000,,
246,9.803267756,36.998005894,36.999234863,0.000000000,,
247,9.843281094,37.000166160,36.999356171,0.000000000,,
248,9.883294431,36.999129132,37.001219284,0.000000000,,
249,9.923307769,36.998754163,37.000016028,0.000000000,,
250,9.963321107,37.000005708,36.999636947,0.000000000,,
251,10.003334445,37.001858066,36.999958482,0.000000000,,
252,10.043347783,37.001268950,36.999970043,-8.000000000,,
253,10.083361120,37.002392965,37.000563373,-16.000000000,,
254,10.123374458,37.000600416,37.000591196,-24.000000000,,
255,10.163387796,36.998094150,36.999812342,-32.000000000,,
256,10.203401134,36.998818872,36.999872552,-40.000000000,,
257,10.243414471,37.001804339,37.001126365,-48.000000000,,
258,10.283427809,37.001474390,37.001658047,-56.000000000,,
259,10.323441147,36.999820908,37.001896739,-64.000000000,,
260,10.363454485,37.000748649,37.000031826,-72.000000000,,
261,10.403467823,37.000148659,36.999851130,-80.000000000,,
262,10.443481160,36.998877885,36.999158423,-88.000000000,,
263,10.483494498,36.999536983,36.999631138,-96.000000000,,
264,10.523507836,37.000258809,36.997420356,-104.000000000,,
265,10.563521174,37.000912080,37.000370437,-112.000000000,,
266,10.603534512,37.001826655,36.997915456,-120.000000000,,
267,10.643547849,37.001176162,36.997753610,-128.000000000,,
268,10.683561187,36.998875179,37.001925819,-136.000000000,,
269,10.723574525,36.998980861,37.000436506,-144.000000000,,
270,10.763587863,36.998715398,36.999772382,-152.000000000,,
271,10.803601200,37.000718525,37.000118662,-160.000000000,,
272,10.843614538,37.001543858,37.000632544,-168.000000000,,
273,10.883627876,37.000274388,37.001471298,-176.000000000,,
274,10.923641214,36.999793333,36.999569042,-184.000000000,,
275,10.963654552,36.998824971,36.999210469,-192.000000000,,
276,11.003667889,36.999813734,36.999925355,-200.000000000,,
277,11.043681227,36.999706079,37.000284690,-208.000000000,,
278,11.083694565,36.999920910,36.998068994,-216.000000000,,
279,11.123707903,36.998773847,36.998603966,-224.000000000,,
280,11.163721240,37.000332571,37.000077871,-232.000000000,,
281,11.203734578,37.000543384,36.997601089,-240.000000000,,
282,11.243747916,37.000158485,37.000770463,-248.000000000,,
283,11.283761254,36.998180489,36.997998363,-256.000000000,,
284,11.323774592,36.999357029,36.999960096,-264.000000000,,
285,11.363787929,37.000105320,37.000703936,-272.000000000,,
286,11.403801267,37.000545728,36.999923250,-280.000000000,,
287,11.443814605,36.999486369,37.001133052,-288.000000000,,
288,11.483827943,36.998042861,36.999189869,-296.000000000,,
289,11.523841280,36.999388039,37.000597301,-304.000000000,,
290,11.563854618,37.000770554,37.000933006,-312.000000000,,
291,11.603867956,37.000196328,36.998786456,-320.000000000,,
292,11.643881294,36.999781385,36.996985178,-328.000000000,,
293,11.683894632,36.998792001,36.999061704,-336.000000000,,
294,11.723907969,36.999975705,37.000952005,-344.000000000,,
295,11.763921307,37.000803486,36.998989051,-352.000000000,,
296,11.803934645,37.001280464,36.997111004,-360.000000000,,
297,11.843947983,37.001314858,37.002257752,-368.000000000,,
298,11.883961320,37.000116781,36.998508517,-376.000000000,,
299,11.923974658,36.999377954,36.998954414,-384.000000000,,
300,11.963987996,36.998882950,36.998568752,-392.000000000,,
301,12.004001334,37.000758550,36.999201375,-400.000000000,,
302,12.044014672,37.000087021,36.999371590,-408.000000000,,
303,12.084028009,37.000548910,36.998361467,-416.000000000,,
304,12.124041347,37.000212012,36.997974096,-424.000000000,,
305,12.164054685,37.000143399,36.995117089,-432.000000000,,
306,12.204068023,36.998937581,36.994123065,-440.000000000,,
307,12.244081360,36.999788679,36.997009830,-448.000000000,,
308,12.284094698,37.000325469,36.994003395,-456.000000000,,
309,12.324108036,37.001154489,36.996104027,-464.000000000,,
310,12.364121374,36.999262685,36.994926394,-472.000000000,,
311,12.404134712,36.999948270,36.992513761,-480.000000000,,
312,12.444148049,36.999993315,36.991340416,-488.000000000,,
313,12.484161387,36.999007840,36.991478209,-496.000000000,,
